smiles,logP,qed,SAS
Cc1c(CN[C@H]2CS(=O)(=O)c3cc(Cl)ccc32)nn(C)c1C,2.5364487171173096,0.921073853969574,3.110835313796997
Cc1ccc(S(=O)(=O)NCc2nc(C)c(C)o2)c(C)c1,2.1025989055633545,0.9127475023269653,2.909653663635254
Cc1nc(C)c(NS(=O)(=O)c2cc(C)c(C)cc2C)o1,2.5436458587646484,0.9033324122428894,2.521083354949951
Cc1ccc(S(=O)(=O)NCc2nc(C)nn2C(C)C)cc1,1.6807541847229004,0.9015252590179443,2.3461666107177734
Cc1ccc(C(=O)NC2CCN(S(C)(=O)=O)CC2)cc1C,1.505601406097412,0.8961183428764343,2.047369956970215
Cc1ccc(S(=O)(=O)Nc2onc(C)c2C)cc1C(F)(F)F,3.065937042236328,0.8913384079933167,2.3796439170837402
Cc1cc(N2CC(NC(=O)c3nccnc3C)C2)nc(C)n1,1.0000176429748535,0.8822625279426575,2.571760654449463
Cc1ccc(S(=O)(=O)NC2=CC(=O)CC(C)(C)C2)cc1,2.169713258743286,0.8765197396278381,2.2318778038024902
CC1(C)C=C(NS(=O)(=O)c2ccc(S(C)(=O)=O)cc2)CC1,1.8098927736282349,0.8688079118728638,2.416748285293579
COC(=O)C(C)(C)c1ncc(NCc2noc(C)c2C)cn1,2.281005859375,0.8475890755653381,2.7209103107452393
